PM2,5 São Paulo (?g/m³);PM2,5 Cidade do México (?g/m³);PM2,5 Santiago (?g/m³);PM2,5 Buenos Aires (?g/m³);PM2,5 Lima (?g/m³);PM2,5 Rio de Janeiro (?g/m³)
;20;17;11;25;7
;18;18;8;29;6
;17;8;9;28;7
;17;10;11;23;17
;17;12;13;21;12
;22;16;8;22;12
;25;15;8;21;15
;22;10;11;18;11
;27;9;12;29;9
;22;20;12;28;5
;21;19;9;23;14
;20;24;12;21;9
;20;26;8;42;15
;21;20;8;20;9
;22;16;9;19;7
;19;14;8;17;5
;17;15;9;41;6
;16;16;11;24;8
;17;16;8;28;15
;20;9;9;24;15
;23;10;9;21;18
;24;9;8;20;16
;24;11;12;19;11
;20;13;7;20;10
;19;14;8;18;6
;16;15;10;16;8
;18;14;8;18;6
;22;12;9;19;7
;23;10;11;17;8
;22;11;10;15;14
;21;15;9;17;15
;18;17;8;14;16
;20;18;11;14;17
;21;19;14;16;14
;24;20;11;15;10
;22;24;10;17;7
;22;25;9;16;15
;21;27;8;17;11
;20;26;9;16;11
;18;19;8;16;12
;16;14;8;17;7
;20;17;9;16;15
;25;16;8;16;16
;22;10;9;;16
;20;11;8;;7
;21;10;10;;8
;22;11;13;;7
;22;12;11;;8
;23;13;9;;14
;19;12;8;;11
;16;14;6;;7
;23;13;9;;9
;22;12;8;;10
;20;11;7;;11
;15;10;8;;14
;23;11;7;;15
;19;12;8;;13
;25;14;8;;17
;25;15;8;;16
;26;17;6;;14
;23;22;12;;11
;21;18;11;;7
;19;13;9;;6
;21;18;13;;5
;22;18;11;;9
;23;12;8;;12
;24;11;10;;10
;21;11;10;;15
;20;12;8;;12
;17;12;8;;14
;17;13;12;;13
;16;14;14;;9
;17;15;10;;10
;20;17;8;;9
;23;20;11;;10
;24;22;10;;13
;25;27;9;;14
;23;17;8;;15
;25;20;9;;11
;24;9;8;;10
;22;10;9;;16
;21;14;10;;15
;22;13;7;;15
;18;14;9;;11
;14;15;10;;5
;18;18;8;;5
;21;23;7;;10
;24;28;10;;11
;22;27;11;;15
;21;28;13;;14
;22;11;6;;11
;22;11;9;;13
;23;12;7;;12
;25;12;5;;11
;22;11;10;;10
;17;17;8;;11
;16;19;9;;14
;18;22;8;;11
;20;26;11;;14
;23;27;8;;16
;24;29;9;;15
;25;29;13;;11
;22;27;12;;15
;23;11;8;;14
;20;14;8;;14
;19;12;10;;6
;18;17;7;;5
;14;19;9;;5
;23;21;7;;6
;21;26;12;;7
;24;14;12;;10
;25;16;9;;11
;22;18;8;;14
;21;21;9;;15
;22;17;5;;16
;20;16;7;;12
;23;19;8;;10
;16;12;10;;11
;19;27;8;;12
;20;12;5;;14
;21;15;9;;14
;22;12;10;;14
;23;12;9;;13
;24;12;8;;7
;27;12;7;;8
;27;13;8;;9
;25;13;9;;15
;22;14;8;;16
;23;16;7;;17
;20;16;8;;11
;23;17;4;;12
;20;20;9;;16
;14;25;5;;13
;14;27;5;;14
;17;28;10;;11
;20;27;8;;10
;19;26;8;;6
;20;16;5;;16
;21;10;8;;13
;22;14;9;;16
;23;19;8;;16
;24;24;9;;12
;21;24;8;;10
;18;23;11;;9
;16;22;10;;9
;20;20;9;;5
;20;18;10;;6
;20;19;11;;9
;21;19;8;;10
;15;17;8;;12
;18;11;10;;13
;18;15;8;;11
;19;13;7;;15
;23;18;9;;11
;22;18;10;;11
;23;19;9;;9
;23;24;4;;9
;23;26;8;;7
;20;27;5;;8
;22;28;7;;9
;19;27;5;;10
;25;23;8;;7
;22;22;10;;6
;17;20;9;;8
;24;19;8;;9
;19;18;8;;10
;25;17;10;;13
;23;18;8;;12
;20;18;6;;11
;19;19;6;;14
;16;14;7;;14
;18;12;8;;13
;21;14;10;;14
;20;15;8;;9
;20;19;10;;9
;21;24;8;;10
;22;26;11;;9
;21;25;4;;7
;20;21;7;;8
;21;19;11;;9
;27;20;9;;11
;24;19;5;;8
;23;18;10;;17
;23;9;8;;7
;22;10;5;;16
;23;13;7;;8
;22;14;4;;15
;17;14;7;;16
;20;13;8;;11
;19;15;7;;16
;23;18;5;;17
;17;25;5;;10
;15;27;7;;10
;17;27;5;;11
;22;26;5;;12
;24;17;5;;11
;24;20;6;;12
;25;19;6;;14
;22;18;7;;12
;22;17;8;;11
;18;8;10;;13
;17;12;8;;10
;17;12;5;;8
;18;12;8;;10
;19;12;11;;12
;19;13;11;;13
;18;14;8;;13
;22;16;6;;14
;21;15;12;;15
;18;14;9;;16
;19;19;6;;16
;25;20;5;;15
;20;22;9;;10
;20;26;10;;8
;18;18;8;;13
;21;15;5;;8
;24;15;8;;9
;25;18;7;;11
;27;19;7;;14
;25;20;4;;15
